Efficiency ,Norm_Double_Gauss_CDF0,Mean_Double_Gauss_CDF0,Sigma_Double_Gauss_CDF0,Scale_Double_Gauss_CDF0,Weight_Double_Gauss_CDF0,ChiSquared,NDF,Status
 ,Norm_Double_Gauss_CDF1,Mean_Double_Gauss_CDF1,Sigma_Double_Gauss_CDF1,Scale_Double_Gauss_CDF1,Weight_Double_Gauss_CDF1,ChiSquared,NDF,Status
METtrigger_TTJets_2017_NoCuts,0.990361+/-0.000839444,155.725+/-0.15131,30.8068+/-1.81358,1.8252+/-0.0618937,-0.879114+/-0.0983274,21.1208,18,SUCCESSFUL
METtrigger_TTJets_2017_NoCuts,0.987693+/-0.000603973,151.974+/-0.432919,6.67841+/-0.3382,6.52996+/-0.330634,-7.47569e-06+/-0.109564,70.0313,16,SUCCESSFUL
METtrigger_TTJets_2017_PTISRG200,0.992134+/-0.000662513,148.697+/-0.322521,30.5089+/-3.05957,1.66887+/-0.0860715,-0.751007+/-0.139012,19.1393,18,SUCCESSFUL
METtrigger_TTJets_2017_PTISRG200,0.991033+/-0.00053276,143.991+/-0.652176,7.47686+/-0.397178,6.04188+/-0.320933,-1.65066e-05+/-0.172086,32.1766,16,SUCCESSFUL
METtrigger_TTJets_2017_PTISRG200_NjetGe4,0.992481+/-0.000677143,149.59+/-0.333695,29.019+/-3.7672,1.68343+/-0.139712,-0.655621+/-0.146745,24.5173,18,SUCCESSFUL
METtrigger_TTJets_2017_PTISRG200_NjetGe4,0.991925+/-0.000712923,156.806+/-8.06501,12.4721+/-9.07879,3.46379+/-2.2281,-0.577615+/-0.105066,19.6111,16,SUCCESSFUL
METtrigger_TTJets_2017_PTISRG200_NjetL4,0.986668+/-0.00140874,138.459+/-1.0291,6.89051+/-10.4344,6.27468+/-9.50215,-1.87996e-05+/-0.263026,28.6198,18,SUCCESSFUL
METtrigger_TTJets_2017_PTISRG200_NjetL4,0.987717+/-0.00150609,133.636+/-2.62823,6.86974+/-0.945722,6.86972+/-0.945397,7.9189e-06+/-0.444478,23.8728,16,SUCCESSFUL
METtrigger_WWTo2L2Nu_2017_NoCuts,0.969035+/-0.00280806,154.263+/-0.464369,27.944+/-3.46245,2.24383+/-0.171105,0.83948+/-0.130897,21.7217,18,SUCCESSFUL
METtrigger_WWTo2L2Nu_2017_NoCuts,0.964784+/-0.00214256,146.702+/-1.57855,6.9735+/-20.0258,6.97289+/-20.0252,-3.42553e-05+/-0.287245,33.407,16,SUCCESSFUL
METtrigger_WWTo2L2Nu_2017_PTISRG200,0.99079+/-0.00107208,127.674+/-1.77175,6.9849+/-1.03457,6.96012+/-1.0307,-1.63406e-05+/-0.366456,12.0723,18,SUCCESSFUL
METtrigger_WWTo2L2Nu_2017_PTISRG200,0.991307+/-0.00112644,122.168+/-3.78349,7.24324+/-1.11515,7.24324+/-1.1155,-0.000392221+/-0.777198,9.16187,16,PROBLEMS  
METtrigger_WWTo2L2Nu_2017_PTISRG200_NjetGe4,0.99516+/-0.00150299,130.124+/-2.86898,7.32112+/-1.91948,7.1425+/-1.87252,-0.000273367+/-0.467149,13.823,18,SUCCESSFUL
METtrigger_WWTo2L2Nu_2017_PTISRG200_NjetGe4,0.995649+/-0.00156537,124.809+/-5.57103,7.50479+/-1.96746,7.50473+/-1.96803,-0.00110884+/-2.61087,9.0528,16,FAILURE   
METtrigger_WWTo2L2Nu_2017_PTISRG200_NjetL4,0.988552+/-0.00137413,126.789+/-2.24328,6.84334+/-15.6753,6.84607+/-15.683,-6.63913e-05+/-0.705473,12.6262,18,SUCCESSFUL
METtrigger_WWTo2L2Nu_2017_PTISRG200_NjetL4,0.988869+/-0.00145184,122.777+/-5.03711,7.03257+/-27.1908,7.03257+/-27.2027,-0.000261326+/-1.00701,10.2716,16,PROBLEMS  
METtrigger_WJets_2017_NoCuts,0.961097+/-0.00129338,165.911+/-0.132307,3.50782+/-2.38926,9.02183+/-6.12909,0.159739+/-0.0255967,53.8914,18,SUCCESSFUL
METtrigger_WJets_2017_NoCuts,0.96119+/-0.00129306,165.097+/-0.351443,5.45593+/-0.528464,5.85342+/-0.566956,-7.66233e-05+/-0.292757,53.6115,16,SUCCESSFUL
METtrigger_WJets_2017_PTISRG200,0.966217+/-0.00111665,151.288+/-3.00692,2.16239+/-1.52664,16.0567+/-10.7947,-0.456631+/-0.0899649,54.7205,18,CALL LIMIT
METtrigger_WJets_2017_PTISRG200,0.96587+/-0.00120802,168.349+/-4.97595,1.03516+/-0.845119,28.1818+/-21.6344,-0.812215+/-0.0747963,51.8735,16,CALL LIMIT
METtrigger_WJets_2017_PTISRG200_NjetGe4,0.981388+/-0.00165419,151.356+/-1.40143,7.41473+/-5.95956,5.53851+/-4.33867,-0.306048+/-0.0633576,18.6063,18,SUCCESSFUL
METtrigger_WJets_2017_PTISRG200_NjetGe4,0.980771+/-0.00163577,169.104+/-4.36103,0.881655+/-0.53784,39.3117+/-22.6158,-0.701414+/-0.0689104,17.2668,16,CALL LIMIT
METtrigger_WJets_2017_PTISRG200_NjetL4,0.958816+/-0.00150084,152.529+/-2.66873,0.763965+/-0.364389,39.8991+/-18.0293,-0.604843+/-0.0617586,61.067,18,CALL LIMIT
METtrigger_WJets_2017_PTISRG200_NjetL4,0.95864+/-0.00161574,160.851+/-18.2723,2.36591+/-11.0295,11.7942+/-54.6826,-0.782687+/-0.318846,60.3525,16,FAILURE   
METtrigger_T2_4bd_500_490_2017_NoCuts,0.9973+/-0.000154999,145.366+/-0.446943,26.408+/-2.14858,1.65523+/-0.0536577,-0.928866+/-0.127863,9.72509,18,SUCCESSFUL
METtrigger_T2_4bd_500_490_2017_NoCuts,0.997319+/-0.00016462,144.346+/-2.58197,28.3309+/-5.25535,1.60848+/-0.104362,4.13534+/-0.234138,9.58157,16,SUCCESSFUL
METtrigger_T2_4bd_500_490_2017_PTISRG200,0.997478+/-0.000155202,136.719+/-1.35409,27.2215+/-2.57122,1.80807+/-0.0791567,2.09043+/-0.102399,12.2346,18,SUCCESSFUL
METtrigger_T2_4bd_500_490_2017_PTISRG200,0.997296+/-0.000137625,120.753+/-1.86967,6.60559+/-0.460524,6.60559+/-0.460524,6.28315+/-0.316589,28.5687,16,SUCCESSFUL
METtrigger_T2_4bd_500_490_2017_PTISRG200_NjetGe4,0.998814+/-0.000152594,136.759+/-1.57528,29.6873+/-3.20375,1.75709+/-0.0963558,4.15777+/-0.120312,14.5051,18,SUCCESSFUL
METtrigger_T2_4bd_500_490_2017_PTISRG200_NjetGe4,0.998668+/-0.000139753,122.597+/-2.27602,6.79134+/-13.4676,6.79133+/-13.4617,6.28308+/-0.335243,27.3103,16,SUCCESSFUL
METtrigger_T2_4bd_500_490_2017_PTISRG200_NjetL4,0.995741+/-0.00022575,128.225+/-1.50752,5.92131+/-0.681756,5.92131+/-0.681757,9.42467+/-0.244588,37.1417,18,SUCCESSFUL
METtrigger_T2_4bd_500_490_2017_PTISRG200_NjetL4,0.995943+/-0.00023514,116.452+/-3.70689,6.43747+/-3.32657,6.43747+/-3.33135,28.2743+/-0.815583,18.2998,16,SUCCESSFUL
METtrigger_T2_4bd_500_420_2017_NoCuts,0.998608+/-9.15261e-05,149.19+/-0.23834,25.4752+/-1.50113,1.71341+/-0.0497129,-0.838728+/-0.0740801,31.8367,18,SUCCESSFUL
METtrigger_T2_4bd_500_420_2017_NoCuts,0.998711+/-0.000110941,145.421+/-0.975047,34.3634+/-2.03133,1.67016+/-0.186957,4.37227+/-0.143032,21.283,16,SUCCESSFUL
METtrigger_T2_4bd_500_420_2017_PTISRG200,0.998894+/-8.33311e-05,139.435+/-0.781995,27.6709+/-2.66085,1.6748+/-0.0960335,3.96853+/-0.0939577,29.2955,18,SUCCESSFUL
METtrigger_T2_4bd_500_420_2017_PTISRG200,0.998809+/-7.69646e-05,129.015+/-0.862101,6.64924+/-3.85483,6.64914+/-3.84914,3.14159+/-0.20687,40.3249,16,SUCCESSFUL
METtrigger_T2_4bd_500_420_2017_PTISRG200_NjetGe4,0.998978+/-8.65923e-05,140.612+/-0.871731,25.1355+/-3.11652,1.77254+/-0.165776,3.8481+/-0.0787932,25.8116,18,SUCCESSFUL
METtrigger_T2_4bd_500_420_2017_PTISRG200_NjetGe4,0.998927+/-8.21583e-05,130.678+/-0.872224,6.64379+/-3.56249,6.66527+/-3.5756,3.14164+/-0.244909,29.8742,16,SUCCESSFUL
METtrigger_T2_4bd_500_420_2017_PTISRG200_NjetL4,0.998686+/-0.000239136,129.644+/-2.16625,33.3998+/-2.79925,1.90291+/-0.208206,7.51701+/-0.109594,20.1808,18,SUCCESSFUL
METtrigger_T2_4bd_500_420_2017_PTISRG200_NjetL4,0.998404+/-0.000194592,114.146+/-3.30055,6.82903+/-0.72988,6.82903+/-0.72988,6.28316+/-0.531864,28.5552,16,SUCCESSFUL
