

-- Schedd: t3.unl.edu : <129.93.239.166:9618?... @ 02/22/21 13:25:50
OWNER    BATCH_NAME      SUBMITTED   DONE   RUN    IDLE  TOTAL JOB_IDS
z374f439 ID: 16437534   2/22 13:25      1      9      _     10 16437534.1-9
z374f439 ID: 16437535   2/22 13:25      _     10      _     10 16437535.0-9
z374f439 ID: 16437536   2/22 13:25      _     10      _     10 16437536.0-9
z374f439 ID: 16437537   2/22 13:25      _     10      _     10 16437537.0-9
z374f439 ID: 16437538   2/22 13:25      _     10      _     10 16437538.0-9
z374f439 ID: 16437539   2/22 13:25      _      6      4     10 16437539.0-9
z374f439 ID: 16437540   2/22 13:25      _      _     10     10 16437540.0-9
z374f439 ID: 16437541   2/22 13:25      _      _     10     10 16437541.0-9
z374f439 ID: 16437542   2/22 13:25      _      _     10     10 16437542.0-9
z374f439 ID: 16437543   2/22 13:25      _      _     10     10 16437543.0-9
z374f439 ID: 16437544   2/22 13:25      _      _     10     10 16437544.0-9
z374f439 ID: 16437545   2/22 13:25      _      _     10     10 16437545.0-9
z374f439 ID: 16437546   2/22 13:25      _      _     10     10 16437546.0-9
z374f439 ID: 16437547   2/22 13:25      _      _     10     10 16437547.0-9
z374f439 ID: 16437548   2/22 13:25      _      _     10     10 16437548.0-9
z374f439 ID: 16437549   2/22 13:25      _      _     10     10 16437549.0-9
z374f439 ID: 16437550   2/22 13:25      _      _     10     10 16437550.0-9
z374f439 ID: 16437551   2/22 13:25      _      _     10     10 16437551.0-9
z374f439 ID: 16437552   2/22 13:25      _      _     10     10 16437552.0-9
z374f439 ID: 16437553   2/22 13:25      _      _     10     10 16437553.0-9
z374f439 ID: 16437554   2/22 13:25      _      _     10     10 16437554.0-9
z374f439 ID: 16437555   2/22 13:25      _      _     10     10 16437555.0-9
z374f439 ID: 16437556   2/22 13:25      _      _     10     10 16437556.0-9
z374f439 ID: 16437557   2/22 13:25      _      _     10     10 16437557.0-9
z374f439 ID: 16437558   2/22 13:25      _      _     10     10 16437558.0-9
z374f439 ID: 16437559   2/22 13:25      _      _     10     10 16437559.0-9
z374f439 ID: 16437560   2/22 13:25      _      _     10     10 16437560.0-9
z374f439 ID: 16437561   2/22 13:25      _      _     10     10 16437561.0-9
z374f439 ID: 16437562   2/22 13:25      _      _     10     10 16437562.0-9
z374f439 ID: 16437563   2/22 13:25      _      _     10     10 16437563.0-9
z374f439 ID: 16437564   2/22 13:25      _      _     10     10 16437564.0-9
z374f439 ID: 16437565   2/22 13:25      _      _     10     10 16437565.0-9
z374f439 ID: 16437566   2/22 13:25      _      _     10     10 16437566.0-9
z374f439 ID: 16437567   2/22 13:25      _      _     10     10 16437567.0-9
z374f439 ID: 16437568   2/22 13:25      _      _     10     10 16437568.0-9
z374f439 ID: 16437569   2/22 13:25      _      _     10     10 16437569.0-9
z374f439 ID: 16437570   2/22 13:25      _      _     10     10 16437570.0-9
z374f439 ID: 16437571   2/22 13:25      _      _     10     10 16437571.0-9
z374f439 ID: 16437572   2/22 13:25      _      _     10     10 16437572.0-9
z374f439 ID: 16437573   2/22 13:25      _      _     10     10 16437573.0-9
z374f439 ID: 16437574   2/22 13:25      _      _     10     10 16437574.0-9
z374f439 ID: 16437575   2/22 13:25      _      _     10     10 16437575.0-9
z374f439 ID: 16437576   2/22 13:25      _      _     10     10 16437576.0-9
z374f439 ID: 16437577   2/22 13:25      _      _     10     10 16437577.0-9
z374f439 ID: 16437578   2/22 13:25      _      _     10     10 16437578.0-9
z374f439 ID: 16437579   2/22 13:25      _      _     10     10 16437579.0-9
z374f439 ID: 16437580   2/22 13:25      _      _     10     10 16437580.0-9
z374f439 ID: 16437581   2/22 13:25      _      _     10     10 16437581.0-9
z374f439 ID: 16437582   2/22 13:25      _      _     10     10 16437582.0-9
z374f439 ID: 16437583   2/22 13:25      _      _     10     10 16437583.0-9
z374f439 ID: 16437584   2/22 13:25      _      _     10     10 16437584.0-9
z374f439 ID: 16437585   2/22 13:25      _      _     10     10 16437585.0-9
z374f439 ID: 16437586   2/22 13:25      _      _     10     10 16437586.0-9
z374f439 ID: 16437587   2/22 13:25      _      _     10     10 16437587.0-9
z374f439 ID: 16437588   2/22 13:25      _      _     10     10 16437588.0-9
z374f439 ID: 16437589   2/22 13:25      _      _     10     10 16437589.0-9
z374f439 ID: 16437590   2/22 13:25      _      _     10     10 16437590.0-9
z374f439 ID: 16437591   2/22 13:25      _      _     10     10 16437591.0-9
z374f439 ID: 16437592   2/22 13:25      _      _     10     10 16437592.0-9
z374f439 ID: 16437593   2/22 13:25      _      _     10     10 16437593.0-9
z374f439 ID: 16437594   2/22 13:25      _      _     10     10 16437594.0-9
z374f439 ID: 16437595   2/22 13:25      _      _     10     10 16437595.0-9
z374f439 ID: 16437596   2/22 13:25      _      _     10     10 16437596.0-9
z374f439 ID: 16437597   2/22 13:25      _      _     10     10 16437597.0-9

Total for query: 639 jobs; 0 completed, 0 removed, 584 idle, 55 running, 0 held, 0 suspended 
Total for all users: 919 jobs; 148 completed, 0 removed, 585 idle, 186 running, 0 held, 0 suspended

